Date,Close,High,Low,Open,Volume,Ticker
,^KLSE,^KLSE,^KLSE,^KLSE,^KLSE,
2025-01-02,1632.8699951171875,1641.3199462890625,1629.22998046875,1641.3199462890625,105628200,^KLSE
2025-01-03,1629.4599609375,1636.0799560546875,1626.0400390625,1634.93994140625,165072500,^KLSE
2025-01-06,1625.469970703125,1631.7099609375,1623.6400146484375,1629.739990234375,152866300,^KLSE
2025-01-07,1629.7900390625,1634.27001953125,1624.5,1624.5,264411300,^KLSE
2025-01-08,1614.8299560546875,1631.1500244140625,1614.8299560546875,1628.9200439453125,235170400,^KLSE
2025-01-09,1600.81005859375,1618.1700439453125,1600.75,1618.1700439453125,237734300,^KLSE
2025-01-10,1602.4100341796875,1605.739990234375,1599.7099609375,1603.5400390625,183779800,^KLSE
2025-01-13,1585.5899658203125,1599.3599853515625,1578.969970703125,1598.9599609375,225808500,^KLSE
2025-01-14,1576.4599609375,1599.4300537109375,1576.4599609375,1592.969970703125,258188800,^KLSE
2025-01-15,1562.1199951171875,1586.2099609375,1558.5999755859375,1582.3299560546875,291412300,^KLSE
2025-01-16,1555.5400390625,1576.5699462890625,1555.5400390625,1572.6099853515625,262005600,^KLSE
2025-01-17,1566.719970703125,1569.4300537109375,1545.6700439453125,1553.4300537109375,319234200,^KLSE
2025-01-20,1572.3399658203125,1575.1099853515625,1563.47998046875,1571.1400146484375,206696900,^KLSE
2025-01-21,1580.4599609375,1582.3199462890625,1570.969970703125,1574.9100341796875,207221800,^KLSE
2025-01-22,1587.800048828125,1590.81005859375,1581.4000244140625,1583.219970703125,175761600,^KLSE
2025-01-23,1577.199951171875,1586.52001953125,1575.6700439453125,1586.52001953125,174593300,^KLSE
2025-01-24,1573.72998046875,1577.5,1566.8399658203125,1577.5,364513300,^KLSE
2025-01-27,1558.969970703125,1573.31005859375,1558.969970703125,1573.31005859375,249788000,^KLSE
2025-01-28,1552.68994140625,1557.43994140625,1544.8699951171875,1557.43994140625,252246900,^KLSE
2025-01-31,1556.9200439453125,1563.030029296875,1545.8399658203125,1553.780029296875,244494100,^KLSE
2025-02-03,1553.6300048828125,1556.739990234375,1546.6800537109375,1547.56005859375,143945600,^KLSE
2025-02-04,1564.56005859375,1564.969970703125,1554.5899658203125,1557.030029296875,172653100,^KLSE
2025-02-05,1574.510009765625,1576.449951171875,1564.4300537109375,1565.6300048828125,215008500,^KLSE
2025-02-06,1585.1700439453125,1585.1700439453125,1573.9000244140625,1576.4300537109375,150941600,^KLSE
2025-02-07,1590.9100341796875,1591.489990234375,1582.9200439453125,1583.6199951171875,181303100,^KLSE
2025-02-10,1589.949951171875,1590.489990234375,1584.199951171875,1587.6500244140625,152037700,^KLSE
2025-02-12,1603.050048828125,1603.050048828125,1592.3199462890625,1592.3199462890625,231113400,^KLSE
2025-02-13,1592.280029296875,1605.47998046875,1592.199951171875,1601.97998046875,162305100,^KLSE
2025-02-14,1591.5999755859375,1595.010009765625,1587.5799560546875,1592.9100341796875,155369300,^KLSE
2025-02-17,1582.760009765625,1592.47998046875,1580.93994140625,1592.47998046875,133784600,^KLSE
2025-02-18,1584.8399658203125,1584.8399658203125,1575.6800537109375,1580.219970703125,164129600,^KLSE
2025-02-19,1580.8800048828125,1583.75,1578.8900146484375,1583.219970703125,162777600,^KLSE
2025-02-20,1577.6700439453125,1581.489990234375,1572.510009765625,1580.6199951171875,185999400,^KLSE
2025-02-21,1591.030029296875,1591.030029296875,1578.1400146484375,1579.9200439453125,228060300,^KLSE
2025-02-24,1584.25,1586.3900146484375,1577.949951171875,1586.3900146484375,181639400,^KLSE
2025-02-25,1568.030029296875,1583.739990234375,1564.3199462890625,1582.72998046875,207845600,^KLSE
2025-02-26,1588.7099609375,1588.7099609375,1565.4599609375,1566.27001953125,187285900,^KLSE
